Unnamed: 0,id,fish,biggest_area,t,x,vx,y,vy,theta,vtheta,theta-00,theta-01,vel,absvtheta,abstheta,fish_id,ms,csv_id,exp_id,bin,res_id,ID,aligned_t,aligned_ms,delta_t,trial_id,condition,unique_res_id,time_adj,vtheta_adj,vtheta_adj_diff
393575,6033,f01,1280.0,15.080837,260.860626999962,-3.988233930960449,142.5446232122163,-1.8127158917021813,0.8089585267479527,-0.3432539889207611,0.1165374929164735,0.0810880175833959,4.380861649503881,0.3432539889207611,0.8089585267479527,1,15053.239,124015,3,1,101,101_3,0.0208369999999966,20.836999999996664,0.0019980000000003,240304_f0trial2,sibs,sibs_124015_240304_f0trial2_101_3,25.0,-0.3432539889207611,0.033560434256219185
73818,22027,f01,1088.0,55.070638,254.7800243854088,-0.5225084691089924,173.22135590938234,-0.3464983027571915,2.4270906319771,-0.1059419973578384,0.21972811040078,0.2108180472159428,0.6269578726710728,0.1059419973578384,2.4270906319771,1,55043.04,124555,1,3,103,103_1,0.010637999999993,10.637999999993042,0.0029989999999955,240304_f0trial2,sibs,sibs_124555_240304_f0trial2_103_1,15.0,0.1059419973578384,0.10243578470964089
29279,38024,f00,1024.0,95.064657,243.528249033378,0.5067858048870937,51.30465450459881,0.1354924657083847,3.4280665977399343,-0.0168218476341856,0.0760446869814428,0.1350008906913173,0.5245856081697221,0.0168218476341856,3.4280665977399343,0,95037.059,124555,1,5,5,5_1,0.0046569999999945,4.656999999994582,0.0019980000000003,240304_f0trial2,sibs,sibs_124555_240304_f0trial2_5_1,5.0,0.0168218476341856,0.0245503248234416
43167,54030,f00,1088.0,135.080258,229.16673849972224,5.008693237301856,99.767448626835,1.592403254132345,3.309442204881482,0.2737076149616101,0.2322878597114495,0.2552562038779773,5.255735540261194,0.2737076149616101,3.309442204881482,0,135052.66,124555,1,7,7,7_1,0.0202580000000125,20.258000000012544,0.0020000000000095,240304_f0trial2,sibs,sibs_124555_240304_f0trial2_7_1,25.0,-0.2737076149616101,0.19582202949080968
227466,6034,f01,1472.0,15.087718,185.5694393040103,-1.05698556917996,258.7190788554228,-4.354333837311343,1.0939225249730855,0.0522735329830373,0.0580088314963767,0.0289636364245051,4.480785830656182,0.0522735329830373,1.0939225249730855,1,15060.12,125055,2,1,101,101_2,0.0277179999999965,27.71799999999658,0.0029889999999994,240304_f0trial2,sibs,sibs_125055_240304_f0trial2_101_2,25.0,-0.0522735329830373,0.31605570285369666
252792,38024,f01,1152.0,95.065295,499.34762175784607,-0.1118663762303889,262.96805624682975,-0.0481320340803846,0.3019853041113033,0.0096646417795084,-0.0351445935583343,-0.0746035296851341,0.1217816851403946,0.0096646417795084,0.3019853041113033,1,95037.697,125055,2,5,105,105_2,0.0052949999999896,5.294999999989614,0.0029979999999909,240304_f0trial2,sibs,sibs_125055_240304_f0trial2_105_2,5.0,0.0096646417795084,0.010963762526776801
283625,6032,f02,1408.0,15.082748,65.7395088900712,-0.2964901041278399,152.23442462503817,0.2546215665085167,-2.8025267851279434,0.0414896499728602,-0.1776656964296354,-0.1614525349732902,0.3908177631287866,0.0414896499728602,2.8025267851279434,2,15055.15,125055,2,1,201,201_2,0.0227479999999964,22.74799999999644,0.0020159999999993,240304_f0trial2,sibs,sibs_125055_240304_f0trial2_201_2,25.0,0.0414896499728602,0.0386449104706361
59733,6037,f01,1344.0,15.110784,422.6114984776012,0.0654456525192915,171.1811995908554,-0.0300935896376721,1.4423658491739746,0.0095599969878388,-0.0344011985439651,-0.0343687765634719,0.0720330311104319,0.0095599969878388,1.4423658491739746,1,15083.186,110942,1,1,101,101_1,0.0507839999999966,50.78399999999661,0.0019829999999991,240304_f0trial1,tau,tau_110942_240304_f0trial1_101_1,55.0,0.0095599969878388,0.01118565236804
66278,14022,f01,1344.0,35.074614,199.26239122608865,-0.109501926788818,123.22393572039604,0.0542418288737779,-0.9235750809027572,0.0244400364590234,-0.1974090587398058,-0.1017406176256954,0.122200032610617,0.0244400364590234,0.9235750809027572,1,35047.016,110942,1,2,102,102_1,0.0146139999999945,14.613999999994576,0.0030069999999966,240304_f0trial1,tau,tau_110942_240304_f0trial1_102_1,15.0,0.0244400364590234,0.0396243127184996
93608,62025,f01,2432.0,155.085024,277.9587119450226,0.1385575794517909,49.234621412106485,-0.4047038876346129,-2.8120325278636136,-0.0532713728505348,0.1622065785529027,0.1430092152302133,0.4277656361725527,0.0532713728505348,2.8120325278636136,1,155057.426,110942,1,8,108,108_1,0.0250240000000019,25.024000000001934,0.0020039999999994,240304_f0trial1,tau,tau_110942_240304_f0trial1_108_1,25.0,-0.0532713728505348,0.015441001615764206
107433,14022,f02,1344.0,35.074614,558.9621061505459,0.5534519542779652,237.8611176094558,0.1735235293485194,1.7832149008758362,0.078878219687357,-0.1481919245763343,-0.1598156563756996,0.5800167936634812,0.078878219687357,1.7832149008758362,2,35047.016,110942,1,2,202,202_1,0.0146139999999945,14.613999999994576,0.0030069999999966,240304_f0trial1,tau,tau_110942_240304_f0trial1_202_1,15.0,0.078878219687357,0.0786065416237854
151166,54032,f03,1664.0,135.102463,86.41811135095469,-0.0614895255854241,143.93937953127752,0.0202767408854069,2.118546982903548,0.0040705018375517,-0.013030367050689,-0.0990733987975565,0.0647464900798063,0.0040705018375517,2.118546982903548,3,135074.865,110942,1,7,307,307_1,0.0424629999999979,42.46299999999792,0.0030009999999833,240304_f0trial1,tau,tau_110942_240304_f0trial1_307_1,45.0,0.0040705018375517,0.014678562135916999
22874,30025,f00,1152.0,75.083328,104.788628308393,-2.870389383122586,54.25419332137511,1.9246203245975424,-0.9520350107694184,0.2372462407277429,-0.0816584192175453,-0.0516178527100454,3.455907782999542,0.2372462407277429,0.9520350107694184,0,75055.73,110942,1,4,4,4_1,0.0233279999999922,23.327999999992244,0.0029979999999909,240304_f0trial1,tau,tau_110942_240304_f0trial1_4_1,25.0,-0.2372462407277429,0.295416309980126
29788,38022,f00,896.0,95.076134,268.7548065057652,-0.0536044327855727,223.2461296005069,-0.0631158001105504,-1.2620774034492095,0.0084251119461627,-0.0065252250603422,-0.0712685994880844,0.0828072426654693,0.0084251119461627,1.2620774034492095,0,95048.536,110942,1,5,5,5_1,0.0161339999999938,16.133999999993875,0.0029990000000026,240304_f0trial1,tau,tau_110942_240304_f0trial1_5_1,15.0,0.0084251119461627,0.0145997630523376
41808,54022,f00,1152.0,135.07646200000002,536.7456575926781,0.1546133176249683,31.169765450748304,-0.5091082184756006,-0.0632393919564053,0.0749737818102992,-0.2414642323019467,-0.2574292384518744,0.5320680934865379,0.0749737818102992,0.0632393919564053,0,135048.864,110942,1,7,7,7_1,0.0164620000000184,16.462000000018406,0.0019980000000145,240304_f0trial1,tau,tau_110942_240304_f0trial1_7_1,15.0,0.0749737818102992,0.06811520595688561
228508,30039,f01,1088.0,75.098877,162.11905107352567,-0.0788614318967484,160.0595402542328,-0.0550608476215402,-0.940137219137728,0.0197761418075296,-0.0509463548778352,-0.1249867617385538,0.096181195571733,0.0197761418075296,0.940137219137728,1,75071.27900000001,112256,2,4,104,104_2,0.0388769999999993,38.87699999999938,0.0029990000000026,240304_f0trial1,tau,tau_112256_240304_f0trial1_104_2,35.0,0.0197761418075296,0.0233873190711599
249066,54034,f01,960.0,135.087512,109.26350141699604,-0.0033982837091087,264.529484951696,0.1392415572585353,-3.6129429264916375,0.0029642966691988,0.0060659845699584,-0.0317230857112411,0.1392830197832799,0.0029642966691988,3.6129429264916375,1,135059.914,112256,2,7,107,107_2,0.0275120000000015,27.51200000000153,0.0030249999999796,240304_f0trial1,tau,tau_112256_240304_f0trial1_107_2,25.0,0.0029642966691988,0.0163787205635336
287098,54030,f02,1280.0,135.077491,553.3227686554358,-0.0072170422298993,136.98558084171762,0.0357438842970962,-0.7912538429211092,0.0090491295290449,-0.1445977578845982,-0.1029280159648249,0.0364652020862678,0.0090491295290449,0.7912538429211092,2,135049.893,112256,2,7,207,207_2,0.0174910000000068,17.491000000006807,0.0019890000000089,240304_f0trial1,tau,tau_112256_240304_f0trial1_207_2,15.0,0.0090491295290449,0.024872126453127398
383900,38034,f01,768.0,95.087667,620.6225403790941,0.1056989352061697,148.5716521794129,0.0624840707936201,-1.46285771494309,-0.0014385344768507,0.0448311773205427,0.0344503520987804,0.1227864976561355,0.0014385344768507,1.46285771494309,1,95060.069,112832,3,5,105,105_3,0.0276669999999938,27.66699999999389,0.0030089999999916,240304_f0trial1,tau,tau_112832_240304_f0trial1_105_3,25.0,-0.0014385344768507,0.0130304693189162
319550,14029,f00,960.0,35.073605,556.8945184776079,-2.24941475294846,262.47509468231874,2.078284522390833,-3.5168650492972304,-0.2748930390780864,0.1031991363335969,0.0952980148183533,3.0625370670069403,0.2748930390780864,3.5168650492972304,0,35046.007000000005,112832,3,2,2,2_3,0.0136049999999983,13.604999999998313,0.0029700000000048,240304_f0trial1,tau,tau_112832_240304_f0trial1_2_3,15.0,0.2748930390780864,0.33562804897505505
233184,14026,f01,1088.0,35.064696,105.81373997189394,0.0477050046087475,95.8100675730998,-0.1022546186387279,1.951477945369371,0.028101189741952,0.0085689941097415,0.0216827016305982,0.1128351651643772,0.028101189741952,1.951477945369371,1,35037.098,113345,2,2,102,102_2,0.0046959999999955,4.695999999995593,0.0020150000000001,240304_f0trial2,tau,tau_113345_240304_f0trial2_102_2,5.0,0.028101189741952,0.0276008037355754
269786,70052,f01,1344.0,175.13344,434.5048270472728,0.0405883112910576,199.27234390622635,0.077426124011932,2.016902628115977,0.0102527474205708,-0.0529917525119456,-0.0565620731823406,0.0874197671752268,0.0102527474205708,2.016902628115977,1,175105.842,113345,2,9,109,109_2,0.073440000000005,73.44000000000506,0.0019869999999855,240304_f0trial2,tau,tau_113345_240304_f0trial2_109_2,75.0,0.0102527474205708,0.015895603913204
277850,14031,f02,1408.0,35.077673,184.50554313737743,-0.205747269874075,186.38597413472763,-0.0208170314496537,2.4905434338351555,-0.0295760108012831,0.1521475715939946,0.1834473156310689,0.2067976979054924,0.0295760108012831,2.4905434338351555,2,35050.075,113345,2,2,202,202_2,0.0176729999999949,17.672999999994943,0.0029990000000026,240304_f0trial2,tau,tau_113345_240304_f0trial2_202_2,15.0,0.0295760108012831,0.027161203541164598
310623,46024,f03,1152.0,115.062196,572.9071469683781,0.9515055842404144,118.79701627659152,-0.248821988607331,-1.667856106914957,-0.0847437723804402,0.150538651438328,0.1894352884359256,0.9835015296659172,0.0847437723804402,1.667856106914957,3,115034.598,113345,2,6,306,306_2,0.0021959999999978,2.1959999999978663,0.0019989999999978,240304_f0trial2,tau,tau_113345_240304_f0trial2_306_2,5.0,-0.0847437723804402,0.03133699866253489
197614,38031,f00,1088.0,95.07923,62.04132231404959,0.0,18.793388429752063,0.0,0.3852691771386385,0.0,0.0205609249899452,-0.016923949321026,0.0,0.0,0.3852691771386385,0,95051.632,113345,2,5,5,5_2,0.0192299999999931,19.2299999999932,0.0029979999999909,240304_f0trial2,tau,tau_113345_240304_f0trial2_5_2,15.0,0.0,0.0292178686562954
